orderID,orderDate,orderTime,channel,status,paymentMethod,quantity,unitPrice,discountPct,orderTotal,deliveryDate,rating,customerFirstName,customerLastName,customerEmail,customerCity,customerBirthDate,customerSignupDate,customerAnniversary,customerMoneySpent,employeeFirstName,employeeLastName,employeePosition,employeeBranch,productName,productCategory,productBrand,productPrice,productCost
1545,2024-12-12,13:55:54,in_store,completed,cash,1,1250.00,10,1125.00,,5,Aram,Vardanyan,aram.vardanyan@gmail.com,Yerevan,1997-12-09,2020-07-08,2024-01-30,13544.72,Vahe,Sahakyan,Store Manager,Yerevan Center,ThinkPad X1 Carbon,Laptops,Lenovo,1250.00,980.00
1071,2024-02-28,18:05:49,online,completed,card,3,89.99,0,269.97,2024-03-01,4,Anna,Sargsyan,anna.sargsyan@gmail.com,Yerevan,1991-04-12,2021-04-24,2022-06-01,5988.47,,,,,MX Keys,Keyboards,Logitech,89.99,55.00
1104,2024-03-21,11:39:35,in_store,completed,cash,3,14.99,0,44.97,,,Meline,Poghosyan,meline.poghosyan@outlook.com,Yerevan,1992-05-05,2019-02-08,,1145.20,Marine,Avagyan,Senior Sales,Gyumri,M185,Accessories,Logitech,14.99,7.00
1488,2024-11-16,12:06:08,online,completed,card,1,1100.00,15,935.00,2024-11-18,,Lilit,Hovhannisyan,lilit.hovhannisyan@mail.ru,Abovyan,1990-06-14,2023-02-11,2019-05-05,8978.29,,,,,MacBook Air 13,Laptops,Apple,1100.00,900.00
1565,2024-12-19,18:32:40,in_store,completed,card,1,1250.00,0,1250.00,,,Armen,Gevorgyan,armen.gevorgyan@gmail.com,Gyumri,1985-12-01,2020-05-13,2015-09-09,9172.79,Ani,Harutyunyan,Sales Associate,Yerevan Center,ThinkPad X1 Carbon,Laptops,Lenovo,1250.00,980.00
1275,2024-07-22,20:41:10,online,completed,card,1,299.00,0,299.00,2024-07-29,4,Sona,Karapetyan,sona.karapetyan@gmail.com,Yerevan,1986-05-25,2021-06-26,2021-04-17,5530.54,,,,,WH-1000XM5,Audio,Sony,299.00,220.00
1464,2024-11-09,11:40:08,online,completed,card,1,12.90,10,11.61,2024-11-15,,Tigran,Grigoryan,tigran.grigoryan@gmail.com,Gyumri,1983-07-30,2020-12-25,2020-11-05,5291.36,,,,,HDMI 2.1 Cable 2m,Cables,Generic,12.90,4.00
1474,2024-11-13,17:50:13,in_store,completed,transfer,2,25.50,0,51.00,,5,Lilit,Hovhannisyan,lilit.hovhannisyan@mail.ru,Abovyan,1990-06-14,2023-02-11,2019-05-05,8978.29,Gor,Mkrtchyan,Senior Sales,Yerevan Center,Laptop Sleeve 14,Accessories,Generic,25.50,10.00
1317,2024-08-16,11:01:47,in_store,completed,transfer,1,129.00,0,129.00,,5,Davit,Petrosyan,davit.petrosyan@mail.ru,Gyumri,1988-11-23,2020-11-27,2021-09-14,8230.04,Gor,Mkrtchyan,Senior Sales,Yerevan Center,Flip 6,Audio,JBL,129.00,85.00
1557,2024-12-17,11:22:50,in_store,completed,cash,1,1250.00,0,1250.00,,4,Narek,Manukyan,narek.manukyan@outlook.com,Gyumri,1992-09-03,2022-08-04,2022-02-28,6146.85,Nare,Ghazaryan,Sales Associate,Yerevan Mall,ThinkPad X1 Carbon,Laptops,Lenovo,1250.00,980.00
1030,2024-01-24,16:08:47,in_store,completed,card,3,59.00,0,177.00,,3,Nane,Galstyan,nane.galstyan@gmail.com,Yerevan,1998-11-11,2022-04-27,,2997.50,Marine,Avagyan,Senior Sales,Gyumri,C920,Webcams,Logitech,59.00,38.00
1161,2024-05-02,13:37:22,in_store,completed,card,1,39.99,10,35.99,,5,Vahan,Torosyan,vahan.torosyan@yahoo.com,Yerevan,1989-08-08,2023-11-03,2018-10-10,8575.72,Ani,Harutyunyan,Sales Associate,Yerevan Center,K380,Keyboards,Logitech,39.99,22.00
1004,2024-01-04,18:51:41,in_store,completed,card,1,59.00,0,59.00,,4,Lilit,Hovhannisyan,lilit.hovhannisyan@mail.ru,Abovyan,1990-06-14,2023-02-11,2019-05-05,8978.29,Nare,Ghazaryan,Sales Associate,Yerevan Mall,C920,Webcams,Logitech,59.00,38.00
1210,2024-05-29,10:19:41,in_store,completed,cash,2,480.00,0,960.00,,,Narek,Manukyan,narek.manukyan@outlook.com,Gyumri,1992-09-03,2022-08-04,2022-02-28,6146.85,Gor,Mkrtchyan,Senior Sales,Yerevan Center,Galaxy Tab S9,Tablets,Samsung,480.00,380.00
1176,2024-05-09,20:42:48,online,completed,card,2,149.00,0,298.00,2024-05-15,,Samvel,Nazaryan,samvel.nazaryan@gmail.com,Gyumri,1979-12-12,2023-11-20,2006-03-15,3463.20,,,,,Brio 4K,Webcams,Logitech,149.00,100.00
1255,2024-07-06,13:38:58,in_store,completed,cash,1,449.00,0,449.00,,1,Narek,Manukyan,narek.manukyan@outlook.com,Gyumri,1992-09-03,2022-08-04,2022-02-28,6146.85,Vahe,Sahakyan,Store Manager,Yerevan Center,iPad 10th gen,Tablets,Apple,449.00,360.00
1261,2024-07-11,13:36:40,in_store,completed,card,3,14.50,0,43.50,,5,Artur,Baghdasaryan,artur.baghdasaryan@gmail.com,Yerevan,1987-09-27,2019-10-22,2016-12-24,10451.07,Marine,Avagyan,Senior Sales,Gyumri,USB Flash 128GB,Storage,SanDisk,14.50,8.00
